id_key,no,contest_category,contest_name,year,link,pdf,post_rendered,post_canonical,label,score,level
3541,1,International Contest,apmo,2023_apmo,https://artofproblemsolving.com/community/c3380290_2023_apmo,https://artofproblemsolving.com/downloads/printable_post_collections/3380290,"Let <img src=""//latex.artofproblemsolving.com/a/4/7/a47f57bec2b79615225569e1ab7a59d042a73c48.png"" class=""latex"" alt=""$n \geq 5$"" style=""vertical-align: -2px"" width=""43"" height=""15""> be an integer. Consider <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> squares with side lengths <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/4/2/5/425ed988d8e8d0e1ee76775ba9aac2e17d1fc25d.png"" class=""latex"" alt=""$1, 2, \dots , n$"" style=""vertical-align: -4px"" width=""79"" height=""17"">,</span> respectively. The squares are arranged in the plane with their sides parallel to the <img src=""//latex.artofproblemsolving.com/2/6/e/26eeb5258ca5099acf8fe96b2a1049c48c89a5e6.png"" class=""latex"" alt=""$x$"" width=""10"" height=""8""> and <img src=""//latex.artofproblemsolving.com/0/9/2/092e364e1d9d19ad5fffb0b46ef4cc7f2da02c1c.png"" class=""latex"" alt=""$y$"" style=""vertical-align: -3px"" width=""9"" height=""11""> axes. Suppose that no two squares touch, except possibly at their vertices. Show that it is possible to arrange these squares in a way such that every square touches exactly two other squares.","Let $n \geq 5$ be an integer. Consider $n$ squares with side lengths $1, 2, \dots , n$, respectively. The squares are arranged in the plane with their sides parallel to the $x$ and $y$ axes. Suppose that no two squares touch, except possibly at their vertices. Show that it is possible to arrange these squares in a way such that every square touches exactly two other squares.",Combinatorics,0.9285714285714286,Easy
3542,2,International Contest,apmo,2023_apmo,https://artofproblemsolving.com/community/c3380290_2023_apmo,https://artofproblemsolving.com/downloads/printable_post_collections/3380290,"Find all integers <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> satisfying <img src=""//latex.artofproblemsolving.com/7/2/2/72287b09043ed45b372a517d764e12d07aff8071.png"" class=""latex"" alt=""$n \geq 2$"" style=""vertical-align: -2px"" width=""43"" height=""14""> and <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/e/5/2/e528ec16241cb9c23c39598c159c12ed0f1822d5.png"" class=""latex"" alt=""$\dfrac{\sigma(n)}{p(n)-1} = n$"" style=""vertical-align: -18px"" width=""106"" height=""45"">,</span> in which <img src=""//latex.artofproblemsolving.com/4/e/b/4eb912f901cc0dba33ac9d06a90b262b423d9eb6.png"" class=""latex"" alt=""$\sigma(n)$"" style=""vertical-align: -4px"" width=""34"" height=""18""> denotes the sum of all positive divisors of <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8"">,</span> and <img src=""//latex.artofproblemsolving.com/7/5/d/75dfcf7177739e768582307df28f20b900dab55c.png"" class=""latex"" alt=""$p(n)$"" style=""vertical-align: -4px"" width=""33"" height=""18""> denotes the largest prime divisor of <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8"">.</span>","Find all integers $n$ satisfying $n \geq 2$ and $\dfrac{\sigma(n)}{p(n)-1} = n$, in which $\sigma(n)$ denotes the sum of all positive divisors of $n$, and $p(n)$ denotes the largest prime divisor of $n$.",Number Theory,7.071428571428572,Hard
3543,3,International Contest,apmo,2023_apmo,https://artofproblemsolving.com/community/c3380290_2023_apmo,https://artofproblemsolving.com/downloads/printable_post_collections/3380290,"Let <img src=""//latex.artofproblemsolving.com/f/9/e/f9efaf9474c5658c4089523e2aff4e11488f8603.png"" class=""latex"" alt=""$ABCD$"" width=""57"" height=""13""> be a parallelogram. Let <img src=""//latex.artofproblemsolving.com/b/c/5/bc509dd2d05ac16be98c0c4001921fe8c9e6e413.png"" class=""latex"" alt=""$W, X, Y,$"" style=""vertical-align: -3px"" width=""64"" height=""16""> and <img src=""//latex.artofproblemsolving.com/3/e/a/3ead47fb9fb4a4c273feee398f72ff2a09702b84.png"" class=""latex"" alt=""$Z$"" width=""13"" height=""12""> be points on sides <img src=""//latex.artofproblemsolving.com/e/9/0/e909ddd5ef34b6213a4908bc8957d34f8078667e.png"" class=""latex"" alt=""$AB, BC, CD,$"" style=""vertical-align: -3px"" width=""106"" height=""16""> and <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/0/b/3/0b31cd391bebc36897a8c10ea78e5d584980b049.png"" class=""latex"" alt=""$DA$"" width=""29"" height=""13"">,</span> respectively, such that the incenters of triangles <img src=""//latex.artofproblemsolving.com/c/6/0/c60f5bf3865969ce4fc2fc08f853572a85e28b18.png"" class=""latex"" alt=""$AWZ, BXW, CYX,$"" style=""vertical-align: -4px"" width=""161"" height=""18""> and <img src=""//latex.artofproblemsolving.com/5/9/a/59addc7a585b225013f0fc46925577cfb769e53f.png"" class=""latex"" alt=""$DZY$"" style=""vertical-align: -1px"" width=""46"" height=""14""> form a parallelogram. Prove that <img src=""//latex.artofproblemsolving.com/2/b/0/2b076f2e7f124fc5d8b5ef7b30b95bfcfe85449f.png"" class=""latex"" alt=""$WXYZ$"" width=""64"" height=""12""> is a parallelogram.","Let $ABCD$ be a parallelogram. Let $W, X, Y,$ and $Z$ be points on sides $AB, BC, CD,$ and $DA$, respectively, such that the incenters of triangles $AWZ, BXW, CYX,$ and $DZY$ form a parallelogram. Prove that $WXYZ$ is a parallelogram.",Geometry,4.757142857142858,Medium
3544,4,International Contest,apmo,2023_apmo,https://artofproblemsolving.com/community/c3380290_2023_apmo,https://artofproblemsolving.com/downloads/printable_post_collections/3380290,"Let <img src=""//latex.artofproblemsolving.com/c/1/b/c1bb51afff5fb240f36891f4551733ba8a674630.png"" class=""latex"" alt=""$c>0$"" style=""vertical-align: 0px"" width=""40"" height=""13""> be a given positive real and <img src=""//latex.artofproblemsolving.com/7/2/4/72457cb47799159bbe79b8bbda486a478835b6a1.png"" class=""latex"" alt=""$\mathbb{R}_{>0}$"" style=""vertical-align: -3px"" width=""29"" height=""15""> be the set of all positive reals. Find all functions <img src=""//latex.artofproblemsolving.com/8/b/6/8b68afab2c8ce2730e035ea5b8df191224d25d31.png"" class=""latex"" alt=""$f \colon \mathbb{R}_{>0} \to \mathbb{R}_{>0}$"" style=""vertical-align: -4px"" width=""115"" height=""18""> such that <img src=""//latex.artofproblemsolving.com/b/0/6/b069e7b7ec1e277f4a4ce85a99434fdb54eb02f3.png"" class=""latexcenter"" alt=""\[f((c+1)x+f(y))=f(x+2y)+2cx \quad \textrm{for all } x,y \in \mathbb{R}_{>0}.\]"" width=""444"" height=""18"">","Let $c>0$ be a given positive real and $\mathbb{R}_{>0}$ be the set of all positive reals. Find all functions $f \colon \mathbb{R}_{>0} \to \mathbb{R}_{>0}$ such that \[f((c+1)x+f(y))=f(x+2y)+2cx \quad \textrm{for all } x,y \in \mathbb{R}_{>0}.\]",Algebra,8.485714285714286,Very Hard
3545,5,International Contest,apmo,2023_apmo,https://artofproblemsolving.com/community/c3380290_2023_apmo,https://artofproblemsolving.com/downloads/printable_post_collections/3380290,"There are <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> line segments on the plane, no three intersecting at a point, and each pair intersecting once in their respective interiors. Tony and his <img src=""//latex.artofproblemsolving.com/0/3/f/03f5a5ded7724c11e58ef212dc3e8549071890a9.png"" class=""latex"" alt=""$2n - 1$"" style=""vertical-align: 0px"" width=""50"" height=""12""> friends each stand at a distinct endpoint of a line segment. Tony wishes to send Christmas presents to each of his friends as follows:<br>
First, he chooses an endpoint of each segment as a “sink”. Then he places the present at<br>
the endpoint of the segment he is at. The present moves as follows :<br>
<img src=""//latex.artofproblemsolving.com/d/5/3/d534b942086dae501cbdce030206adb87567bb07.png"" class=""latex"" alt=""$\bullet$"" style=""vertical-align: 1px"" width=""8"" height=""7""> If it is on a line segment, it moves towards the sink.<br>
<img src=""//latex.artofproblemsolving.com/d/5/3/d534b942086dae501cbdce030206adb87567bb07.png"" class=""latex"" alt=""$\bullet$"" style=""vertical-align: 1px"" width=""8"" height=""7""> When it reaches an intersection of two segments, it changes the line segment it travels on and starts moving towards the new sink.<br>
If the present reaches an endpoint, the friend on that endpoint can receive their present.<br>
Prove that Tony can send presents to exactly <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> of his <img src=""//latex.artofproblemsolving.com/0/3/f/03f5a5ded7724c11e58ef212dc3e8549071890a9.png"" class=""latex"" alt=""$2n - 1$"" style=""vertical-align: 0px"" width=""50"" height=""12""> friends.","There are $n$ line segments on the plane, no three intersecting at a point, and each pair intersecting once in their respective interiors. Tony and his $2n - 1$ friends each stand at a distinct endpoint of a line segment. Tony wishes to send Christmas presents to each of his friends as follows: First, he chooses an endpoint of each segment as a “sink”. Then he places the present at the endpoint of the segment he is at. The present moves as follows : $\bullet$ If it is on a line segment, it moves towards the sink. $\bullet$ When it reaches an intersection of two segments, it changes the line segment it travels on and starts moving towards the new sink. If the present reaches an endpoint, the friend on that endpoint can receive their present. Prove that Tony can send presents to exactly $n$ of his $2n - 1$ friends.",Combinatorics,8.714285714285715,Very Hard
3546,1,International Contest,apmo,2022_apmo,https://artofproblemsolving.com/community/c3046774_2022_apmo,https://artofproblemsolving.com/downloads/printable_post_collections/3046774,"Find all pairs <img src=""//latex.artofproblemsolving.com/8/e/8/8e8da0aef2d19017da7471378386d61620f288f5.png"" class=""latex"" alt=""$(a,b)$"" style=""vertical-align: -4px"" width=""38"" height=""18""> of positive integers such that <img src=""//latex.artofproblemsolving.com/7/2/3/7230920a133b86893c8f65665e5e7beb0797b70c.png"" class=""latex"" alt=""$a^3$"" width=""15"" height=""15""> is multiple of <img src=""//latex.artofproblemsolving.com/a/1/d/a1d03c3c5b9abf1bdb0c9df06fe5fb11ae13d0e8.png"" class=""latex"" alt=""$b^2$"" width=""14"" height=""15""> and <img src=""//latex.artofproblemsolving.com/c/3/d/c3dcf0896441c33c0dcf7e4616e114e9326bb6b2.png"" class=""latex"" alt=""$b-1$"" style=""vertical-align: 0px"" width=""38"" height=""13""> is multiple of <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/c/c/6/cc6873715a60ff7706da71b8cad30cead78b1ad3.png"" class=""latex"" alt=""$a-1$"" style=""vertical-align: 0px"" width=""40"" height=""12"">.</span>","Find all pairs $(a,b)$ of positive integers such that $a^3$ is multiple of $b^2$ and $b-1$ is multiple of $a-1$.",Number Theory,3.1571428571428575,Medium
3547,2,International Contest,apmo,2022_apmo,https://artofproblemsolving.com/community/c3046774_2022_apmo,https://artofproblemsolving.com/downloads/printable_post_collections/3046774,"Let <img src=""//latex.artofproblemsolving.com/e/2/a/e2a559986ed5a0ffc5654bd367c29dfc92913c36.png"" class=""latex"" alt=""$ABC$"" width=""42"" height=""13""> be a right triangle with <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/1/7/b/17b625390aa6ef3e93ecc7fca394a037aa0c9532.png"" class=""latex"" alt=""$\angle B=90^{\circ}$"" width=""76"" height=""13"">.</span> Point <img src=""//latex.artofproblemsolving.com/9/f/f/9ffb448918db29f2a72f8f87f421b3b3cad18f95.png"" class=""latex"" alt=""$D$"" width=""15"" height=""12""> lies on the line <img src=""//latex.artofproblemsolving.com/3/e/3/3e3a4ec0df571e719bd3f1d7e00bf71fc55ba2b9.png"" class=""latex"" alt=""$CB$"" width=""28"" height=""12""> such that <img src=""//latex.artofproblemsolving.com/f/f/5/ff5fb3d775862e2123b007eb4373ff6cc1a34d4e.png"" class=""latex"" alt=""$B$"" style=""vertical-align: -1px"" width=""17"" height=""14""> is between <img src=""//latex.artofproblemsolving.com/9/f/f/9ffb448918db29f2a72f8f87f421b3b3cad18f95.png"" class=""latex"" alt=""$D$"" width=""15"" height=""12""> and <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/c/3/3/c3355896da590fc491a10150a50416687626d7cc.png"" class=""latex"" alt=""$C$"" width=""14"" height=""12"">.</span> Let <img src=""//latex.artofproblemsolving.com/f/a/2/fa2fa899f0afb05d6837885523503a2d4df434f9.png"" class=""latex"" alt=""$E$"" width=""14"" height=""12""> be the midpoint of <img src=""//latex.artofproblemsolving.com/b/c/5/bc56862b1fdb71204894da278e42ef75de73a40b.png"" class=""latex"" alt=""$AD$"" width=""28"" height=""13""> and let <img src=""//latex.artofproblemsolving.com/a/0/5/a055f405829e64a3b70253ab67cb45ed6ed5bb29.png"" class=""latex"" alt=""$F$"" width=""14"" height=""12""> be the seconf intersection point of the circumcircle of <img src=""//latex.artofproblemsolving.com/0/f/7/0f7a55113a84ee4c04eb66f66d08310c32533ca2.png"" class=""latex"" alt=""$\triangle ACD$"" width=""59"" height=""13""> and the circumcircle of <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/1/6/b/16b4072dec30604cbea5998c12fddd9eacfeb564.png"" class=""latex"" alt=""$\triangle BDE$"" width=""60"" height=""13"">.</span> Prove that as <img src=""//latex.artofproblemsolving.com/9/f/f/9ffb448918db29f2a72f8f87f421b3b3cad18f95.png"" class=""latex"" alt=""$D$"" width=""15"" height=""12""> varies, the line <img src=""//latex.artofproblemsolving.com/c/1/2/c128243ea8125d0bb007b8132dcfa44461df73a7.png"" class=""latex"" alt=""$EF$"" width=""28"" height=""12""> passes through a fixed point.","Let $ABC$ be a right triangle with $\angle B=90^{\circ}$. Point $D$ lies on the line $CB$ such that $B$ is between $D$ and $C$. Let $E$ be the midpoint of $AD$ and let $F$ be the seconf intersection point of the circumcircle of $\triangle ACD$ and the circumcircle of $\triangle BDE$. Prove that as $D$ varies, the line $EF$ passes through a fixed point.",Geometry,4.171428571428572,Medium
3548,3,International Contest,apmo,2022_apmo,https://artofproblemsolving.com/community/c3046774_2022_apmo,https://artofproblemsolving.com/downloads/printable_post_collections/3046774,"Find all positive integers <img src=""//latex.artofproblemsolving.com/7/8/e/78e6136577cbfe6d8447f81916ec49afbeeb008d.png"" class=""latex"" alt=""$k<202$"" style=""vertical-align: -2px"" width=""63"" height=""15""> for which there exist a positive integers <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> such that<br>
<img src=""//latex.artofproblemsolving.com/f/d/7/fd7bd8ab37f75be6a1935672ccfc2a3c1d821847.png"" class=""latexcenter"" alt=""$$\bigg {\{}\frac{n}{202}\bigg {\}}+\bigg {\{}\frac{2n}{202}\bigg {\}}+\cdots +\bigg {\{}\frac{kn}{202}\bigg {\}}=\frac{k}{2}$$"" width=""296"" height=""43"">",Find all positive integers $k<202$ for which there exist a positive integers $n$ such that $$\bigg {\{}\frac{n}{202}\bigg {\}}+\bigg {\{}\frac{2n}{202}\bigg {\}}+\cdots +\bigg {\{}\frac{kn}{202}\bigg {\}}=\frac{k}{2}$$,Number Theory,7.7,Hard
3549,4,International Contest,apmo,2022_apmo,https://artofproblemsolving.com/community/c3046774_2022_apmo,https://artofproblemsolving.com/downloads/printable_post_collections/3046774,"Let <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> and <img src=""//latex.artofproblemsolving.com/8/c/3/8c325612684d41304b9751c175df7bcc0f61f64f.png"" class=""latex"" alt=""$k$"" width=""9"" height=""12""> be positive integers. Cathy is playing the following game. There are <img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8""> marbles and <img src=""//latex.artofproblemsolving.com/8/c/3/8c325612684d41304b9751c175df7bcc0f61f64f.png"" class=""latex"" alt=""$k$"" width=""9"" height=""12""> boxes, with the marbles labelled <img src=""//latex.artofproblemsolving.com/d/c/e/dce34f4dfb2406144304ad0d6106c5382ddd1446.png"" class=""latex"" alt=""$1$"" style=""vertical-align: -1px"" width=""11"" height=""14""> to <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8"">.</span> Initially, all marbles are placed inside one box. Each turn, Cathy chooses a box and then moves the marbles with the smallest label, say <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/3/4/8/34857b3ba74ce5cd8607f3ebd23e9015908ada71.png"" class=""latex"" alt=""$i$"" width=""5"" height=""12"">,</span> to either any empty box or the box containing marble <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/0/e/e/0ee0abf0ecbd684740f6b693395eef8f3458c71d.png"" class=""latex"" alt=""$i+1$"" style=""vertical-align: -1px"" width=""36"" height=""14"">.</span> Cathy wins if at any point there is a box containing only marble <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/1/7/4/174fadd07fd54c9afe288e96558c92e0c1da733a.png"" class=""latex"" alt=""$n$"" width=""10"" height=""8"">.</span><br>
Determine all pairs of integers <img src=""//latex.artofproblemsolving.com/6/3/2/6320b22c83b29452652543259a7e2c43eec70cb0.png"" class=""latex"" alt=""$(n,k)$"" style=""vertical-align: -4px"" width=""41"" height=""18""> such that Cathy can win this game.","Let $n$ and $k$ be positive integers. Cathy is playing the following game. There are $n$ marbles and $k$ boxes, with the marbles labelled $1$ to $n$. Initially, all marbles are placed inside one box. Each turn, Cathy chooses a box and then moves the marbles with the smallest label, say $i$, to either any empty box or the box containing marble $i+1$. Cathy wins if at any point there is a box containing only marble $n$. Determine all pairs of integers $(n,k)$ such that Cathy can win this game.",Combinatorics,9.142857142857142,Very Hard
3550,5,International Contest,apmo,2022_apmo,https://artofproblemsolving.com/community/c3046774_2022_apmo,https://artofproblemsolving.com/downloads/printable_post_collections/3046774,"Let <img src=""//latex.artofproblemsolving.com/b/b/6/bb60e0857a2c0a2c47acfbe81781032feb1f7150.png"" class=""latex"" alt=""$a,b,c,d$"" style=""vertical-align: -4px"" width=""61"" height=""18""> be real numbers such that <span style=""white-space:pre;""><img src=""//latex.artofproblemsolving.com/6/6/2/6626ab951c68d4bdae445a5b6b3b99c7292c363d.png"" class=""latex"" alt=""$a^2+b^2+c^2+d^2=1$"" style=""vertical-align: -1px"" width=""163"" height=""16"">.</span> Determine the minimum value of <img src=""//latex.artofproblemsolving.com/f/e/e/fee4d3bbe65be2564ecad727d3973d78d81d159e.png"" class=""latex"" alt=""$(a-b)(b-c)(c-d)(d-a)$"" style=""vertical-align: -5px"" width=""217"" height=""20""> and determine all values of <img src=""//latex.artofproblemsolving.com/f/a/e/faedb9d30dc3763d92cbcacf2cc17e2bf64f3e8b.png"" class=""latex"" alt=""$(a,b,c,d)$"" style=""vertical-align: -4px"" width=""71"" height=""18""> such that the minimum value is achived.","Let $a,b,c,d$ be real numbers such that $a^2+b^2+c^2+d^2=1$. Determine the minimum value of $(a-b)(b-c)(c-d)(d-a)$ and determine all values of $(a,b,c,d)$ such that the minimum value is achived.",Algebra,7.985714285714286,Hard
