post_canonical,score,level
"Let ABC be a triangle with an obtuse angle at A. Let E and F be the intersections of the external bisector of angle A with the altitudes of ABC through B and C respectively. Let M and N be the points on the segments EC and FB respectively such that angle EMA = angle BCA and angle ANF = angle ABC. Prove that the points E, F, N, M lie on a circle.",8.832997987927566,Very Hard
"An infinite sequence of positive integers a_1, a_2, dots is called good if (1) a_1 is a perfect square, and (2) for any integer n ge 2, a_n is the smallest positive integer such that na_1 + (n-1)a_2 + dots + 2a_{n-1} + a_nis a perfect square. Prove that for any good sequence a_1, a_2, dots, there exists a positive integer k such that a_n=a_k for all integers n ge k. (reposting because the other thread didn't get moved)",8.880308880308881,Very Hard
"Let ABCD be a cyclic quadrilateral, and let diagonals AC and BD intersect at X.Let C_1,D_1 and M be the midpoints of segments CX,DX and CD, respecctively. Lines AD_1 and BC_1 intersect at Y, and line MY intersects diagonals AC and BD at different points E and F, respectively. Prove that line XY is tangent to the circle through E,F and X.",6.190476190476191,Hard
"Let n be an odd positive integer, and let x_1,x_2, cdots ,x_n be non-negative real numbers. Show that min_{i=1, ldots,n} (x_i^2+x_{i+1}^2) leq max_{j=1, ldots,n} (2x_jx_{j+1}) where x_{n+1}=x_1.",5.986394557823129,Medium
"We are given an acute triangle ABC. Let D be the point on its circumcircle such that AD is a diameter. Suppose that points K and L lie on segments AB and AC, respectively, and that DK and DL are tangent to circle AKL. Show that line KL passes through the orthocenter of triangle ABC.",4.728370221327968,Medium
"A domino is a 1 times 2 or 2 times 1 tile. Let n ge 3 be an integer. Dominoes are placed on an n times n board in such a way that each domino covers exactly two cells of the board, and dominoes do not overlap. The value of a row or column is the number of dominoes that cover at least one cell of this row or column. The configuration is called balanced if there exists some k ge 1 such that each row and each column has a value of k. Prove that a balanced configuration exists for every n ge 3 , and find the minimum number of dominoes needed in such a configuration.",3.83882783882784,Medium
"Let ABC be a triangle such that angle CAB > angle ABC, and let I be its incentre. Let D be the point on segment BC such that angle CAD = angle ABC. Let omega be the circle tangent to AC at A and passing through I. Let X be the second point of intersection of omega and the circumcircle of ABC. Prove that the angle bisectors of angle DAB and angle CXB intersect at a point on line BC.",7.820699708454811,Hard
"Let k and n be integers such that k ge 2 and k le n le 2k-1. Place rectangular tiles, each of size 1 times k, or k times 1 on a n times n chessboard so that each tile covers exactly k cells and no two tiles overlap. Do this until no further tile can be placed in this way. For each such k and n, determine the minimum number of tiles that such an arrangement may contain.",6.938775510204081,Hard
"Let m be a positive integer. Consider a 4m times 4m array of square unit cells. Two different cells are related to each other if they are in either the same row or in the same column. No cell is related to itself. Some cells are colored blue, such that every cell is related to at least two blue cells. Determine the minimum number of blue cells.",8.68804664723032,Very Hard
Determine all functions f: mathbb R rightarrow mathbb R satisfying the condition f(y^2+2xf(y)+f(x)^2)=(y+f(x))(x+f(y)) for all real numbers x and y.,8.857142857142858,Very Hard
A plane has a special point O called the origin. Let P be a set of 2021 points in the plane such that no three points in P lie on a line and no two points in P lie on a line through the origin. A triangle with vertices in P is fat if O is strictly inside the triangle. Find the maximum number of fat triangles.,8.222669349429912,Very Hard
"Let n geq1 be an integer and let t_1<t_2< dots<t_n be positive integers. In a group of t_n+1 people, some games of chess are played. Two people can play each other at most once. Prove that it is possible for the following two conditions to hold at the same time: (i) The number of games played by each person is one of t_1,t_2, dots,t_n. (ii) For every i with 1 leq i leq n, there is someone who has played exactly t_i games of chess.",6.709183673469388,Hard
"Let ABCDEF be a convex hexagon such that angle A = angle C = angle E and angle B = angle D = angle F and the (interior) angle bisectors of angle A, ~ angle C, and angle E are concurrent. Prove that the (interior) angle bisectors of angle B, ~ angle D, and angle F must also be concurrent. Note that angle A = angle FAB. The other interior angles of the hexagon are similarly described.",7.703081232492996,Hard
"Let n geq2 be an integer. An n-tuple (a_1,a_2, dots,a_n) of not necessarily different positive integers is expensive if there exists a positive integer k such that (a_1+a_2)(a_2+a_3) dots(a_{n-1}+a_n)(a_n+a_1)=2^{2k-1}.a) Find all integers n geq2 for which there exists an expensive n-tuple. b) Prove that for every odd positive integer m there exists an integer n geq2 such that m belongs to an expensive n-tuple. There are exactly n factors in the product on the left hand side.",7.431972789115646,Hard
"Determine all real constants t such that whenever a, b and c are the lengths of sides of a triangle, then so are a^2+bct, b^2+cat, c^2+abt.",6.844155844155844,Hard
"Let m, n be positive integers with m > 1. Anastasia partitions the integers 1, 2, dots , 2m into m pairs. Boris then chooses one integer from each pair and finds the sum of these chosen integers. Prove that Anastasia can select the pairs so that Boris cannot make his sum equal to n.",6.9593709043250325,Hard
"Let Omega be the circumcircle of the triangle ABC. The circle omega is tangent to the sides AC and BC, and it is internally tangent to the circle Omega at the point P. A line parallel to AB intersecting the interior of triangle ABC is tangent to omega at Q. Prove that angle ACP = angle QCB.",8.669950738916256,Very Hard
"The side BC of the triangle ABC is extended beyond C to D so that CD = BC. The side CA is extended beyond A to E so that AE = 2CA. Prove that, if AD=BE, then the triangle ABC is right-angled.",1.2315270935960587,Easy
A domino is a 2 times 1 or 1 times 2 tile. Determine in how many ways exactly n^2 dominoes can be placed without overlapping on a 2n times 2n chessboard so that every 2 times 2 square contains at least two uncovered unit squares which lie in the same row or column.,7.536041939711664,Hard
"Determine all integers m for which the m times m square can be dissected into five rectangles, the side lengths of which are the integers 1,2,3, ldots,10 in some order.",4.269293924466338,Medium
"Let ABC be an acute-angled triangle in which BC<AB and BC<CA. Let point P lie on segment AB and point Q lie on segment AC such that P neq B, Q neq C and BQ = BC = CP. Let T be the circumcenter of triangle APQ, H the orthocenter of triangle ABC, and S the point of intersection of the lines BQ and CP. Prove that T, H, and S are collinear.",3.326898326898328,Medium
"Let n be a positive integer. We have n boxes where each box contains a non-negative number of pebbles. In each move we are allowed to take two pebbles from a box we choose, throw away one of the pebbles and put the other pebble in another box we choose. An initial configuration of pebbles is called solvable if it is possible to reach a configuration with no empty box, in a finite (possibly zero) number of moves. Determine all initial configurations of pebbles which are not solvable, but become solvable when an additional pebble is added to a box, no matter which box is chosen.",6.116883116883116,Hard
