post_canonical,score,level
A cyclic quadrilateral ABXC has circumcentre O. Let D be a point on line BX such that AD = BD. Let E be a point on line CX such that AE = CE. Prove that the circumcentre of triangle triangle DEX lies on the perpendicular bisector of OA.,2.7586206896551726,Easy
"Let n geq 2 be an integer. Alice and Bob play a game concerning a country made of n islands. Exactly two of those n islands have a factory. Initially there is no bridge in the country. Alice and Bob take turns in the following way. In each turn, the player must build a bridge between two different islands I_1 and I_2 such that: bullet I_1 and I_2 are not already connected by a bridge. bullet at least one of the two islands I_1 and I_2 is connected by a series of bridges to an island with a factory (or has a factory itself). (Indeed, access to a factory is needed for the construction.) As soon as a player builds a bridge that makes it possible to go from one factory to the other, this player loses the game. (Indeed, it triggers an industrial battle between both factories.) If Alice starts, then determine (for each n geq 2) who has a winning strategy. (Note: It is allowed to construct a bridge passing above another bridge.)",4.666666666666667,Medium
"Let a,b,c,d be real numbers with 0 leqslant a,b,c,d leqslant 1. Prove that ab(a-b)+bc(b-c)+cd(c-d)+da(d-a) leqslant frac{8}{27}. Find all quadruples (a,b,c,d) of real numbers with 0 leqslant a,b,c,d leqslant 1 for which equality holds in the above inequality.",5.238095238095237,Medium
"(a) Prove that for all a, b, c, d in mathbb{R} with a + b + c + d = 0, max(a, b) + max(a, c) + max(a, d) + max(b, c) + max(b, d) + max(c, d) geqslant 0. (b) Find the largest non-negative integer k such that it is possible to replace k of the six maxima in this inequality by minima in such a way that the inequality still holds for all a, b, c, d in mathbb{R} with a + b + c + d = 0.",5.467980295566503,Medium
"Find all functions f: mathbb{R} to mathbb{R} such that f(x + y) + y le f(f(f(x))) holds for all x, y in mathbb{R}.",7.904761904761905,Hard
a) Find all positive integers g with the following property: for each odd prime number p there exists a positive integer n such that p divides the two integers g^n - n quad text{ and } quad g^{n+1} - (n + 1). b) Find all positive integers g with the following property: for each odd prime number p there exists a positive integer n such that p divides the two integers g^n - n^2 quad text{ and }g^{n+1} - (n + 1)^2.,8.428571428571429,Very Hard
"Pawns and rooks are placed on a 2019 times 2019 chessboard, with at most one piece on each of the 2019^2 squares. A rook can see another rook if they are in the same row or column and all squares between them are empty. What is the maximal number p for which p pawns and p+2019 rooks can be placed on the chessboard in such a way that no two rooks can see each other?",7.190476190476191,Hard
"Let n ge 3 be an integer. A frog is to jump along the real axis, starting at the point 0 and making n jumps: one of length 1, one of length 2, dots , one of length n. It may perform these n jumps in any order. If at some point the frog is sitting on a number a le 0, its next jump must be to the right (towards the positive numbers). If at some point the frog is sitting on a number a > 0, its next jump must be to the left (towards the negative numbers). Find the largest positive integer k for which the frog can perform its jumps in such an order that it never lands on any of the numbers 1, 2, dots , k.",4.9523809523809526,Medium
"Two circles Gamma_1 and Gamma_2 intersect at points A and Z (with A neq Z). Let B be the centre of Gamma_1 and let C be the centre of Gamma_2. The exterior angle bisector of angle{BAC} intersects Gamma_1 again at X and Gamma_2 again at Y. Prove that the interior angle bisector of angle{BZC} passes through the circumcenter of triangle{XYZ}. For points P,Q,R that lie on a line ell in that order, and a point S not on ell, the interior angle bisector of angle{PQS} is the line that divides angle{PQS} into two equal angles, while the exterior angle bisector of angle{PQS} is the line that divides angle{RQS} into two equal angles.",5.666666666666666,Medium
Let ABCD be a square. Consider a variable point P inside the square for which angle BAP ge 60^ circ. Let Q be the intersection of the line AD and the perpendicular to BP in P. Let R be the intersection of the line BQ and the perpendicular to BP from C. (a) Prove that |BP| ge |BR| (b) For which point(s) P does the inequality in (a) become an equality?,9.428571428571429,Very Hard
