index,text,actual,predicted
301,"Prove that for every natural number n, and for every real number x neq frac{k pi}{2^t} (t=0,1, dots, n; k any integer) frac{1}{ sin{2x}}+ frac{1}{ sin{4x}}+ dots+ frac{1}{ sin{2^nx}}= cot{x}- cot{2^nx}",0.5925925925925934,0.8163066
410,"Let n geq 5 be an integer. Consider n squares with side lengths 1, 2, dots , n, respectively. The squares are arranged in the plane with their sides parallel to the x and y axes. Suppose that no two squares touch, except possibly at their vertices. Show that it is possible to arrange these squares in a way such that every square touches exactly two other squares.",0.9285714285714286,1.2483531
383,"Three players A,B and C play a game with three cards and on each of these 3 cards it is written a positive integer, all 3 numbers are different. A game consists of shuffling the cards, giving each player a card and each player is attributed a number of points equal to the number written on the card and then they give the cards back. After a number ( geq 2) of games we find out that A has 20 points, B has 10 points and C has 9 points. We also know that in the last game B had the card with the biggest number. Who had in the first game the card with the second value (this means the middle card concerning its value).",0.971428571428572,0.540972
24,"Find the smallest natural number n which has the following properties: a) Its decimal representation has a 6 as the last digit. b) If the last digit 6 is erased and placed in front of the remaining digits, the resulting number is four times as large as the original number n.",0.980392156862745,0.6547241
280,"Construct triangle ABC, given h_a, h_b (the altitudes from A and B), and m_a, the median from vertex A.",0.9999999999999998,1.2114462
55,"In a mathematical contest, three problems, A,B,C were posed. Among the participants ther were 25 students who solved at least one problem each. Of all the contestants who did not solve problem A, the number who solved B was twice the number who solved C. The number of students who solved only problem A was one more than the number of students who solved A and at least one other problem. Of all students who solved just one problem, half did not solve problem A. How many students solved only problem B?",1.1111111111111116,0.6267894
9,"The side BC of the triangle ABC is extended beyond C to D so that CD = BC. The side CA is extended beyond A to E so that AE = 2CA. Prove that, if AD=BE, then the triangle ABC is right-angled.",1.2315270935960587,1.2330711
236,"Let ABC be an acute triangle with altitudes AD, BE, and CF, and let O be the center of its circumcircle. Show that the segments OA, OF, OB, OD, OC, OE dissect the triangle ABC into three pairs of triangles that have equal areas.",1.257142857142857,1.4931834
173,"In the interior of a square ABCD we construct the equilateral triangles ABK, BCL, CDM, DAN. Prove that the midpoints of the four segments KL, LM, MN, NK and the midpoints of the eight segments AK, BK, BL, CL, CM, DM, DN, AN are the 12 vertices of a regular dodecagon.",1.3063063063063074,1.800988
117,Find all natural numbers n the product of whose decimal digits is n^2-10n-22.,1.334379905808477,1.4741502
64,"A sequence a_1,a_2, ldots ,a_n, ldots of natural numbers is defined by the rule a_{n+1}=a_n+b_n (n=1,2, ldots) where b_n is the last digit of a_n. Prove that such a sequence contains infinitely many powers of 2 if and only if a_1 is not divisible by 5.",1.5714285714285714,1.3197541
276,"Let f be an injective function from {1,2,3, ldots} in itself. Prove that for any n we have: sum_{k=1}^{n} f(k)k^{-2} geq sum_{k=1}^{n} k^{-1}.",1.6161616161616166,1.9160553
307,"Let P be a point in the interior of a triangle ABC , and let D, E, F be the point of intersection of the line AP and the side BC of the triangle, of the line BP and the side CA , and of the line CP and the side AB , respectively. Prove that the area of the triangle ABC must be 6 if the area of each of the triangles PFA, PDB and PEC is 1 .",1.657142857142857,1.8526797
348,"Determine all composite integers n>1 that satisfy the following property: if d_1, d_2, ldots, d_k are all the positive divisors of n with 1=d_1<d_2< cdots<d_k=n, then d_i divides d_{i+1}+d_{i+2} for every 1 leqslant i leqslant k-2",1.7341977309562395,1.7745886
282,"Find all positive integers n such that the set {n,n+1,n+2,n+3,n+4,n+5 } can be partitioned into two subsets so that the product of the numbers in each subset is equal.",1.7619047619047612,2.0197406
