post_canonical,score,level
Determine all the functions f : mathbb{R} to mathbb{R} such that f(x^2 + f(y)) = f(f(x)) + f(y^2) + 2f(xy) for all real numbers x and y.,9.542857142857144,Very Hard
"Let ABC be a right triangle with angle B=90^{ circ}. Point D lies on the line CB such that B is between D and C. Let E be the midpoint of AD and let F be the seconf intersection point of the circumcircle of triangle ACD and the circumcircle of triangle BDE. Prove that as D varies, the line EF passes through a fixed point.",4.171428571428572,Medium
"Find all polynomials P(x) with integer coefficients such that for all real numbers s and t, if P(s) and P(t) are both integers, then P(st) is also an integer.",9.742857142857144,Very Hard
"Let ABC be a triangle, and let D be a point on side BC. A line through D intersects side AB at X and ray AC at Y . The circumcircle of triangle BXD intersects the circumcircle omega of triangle ABC again at point Z distinct from point B. The lines ZD and ZY intersect omega again at V and W respectively. Prove that AB = V W Proposed by Warut Suksompong, Thailand",2.2,Easy
Determine all Functions f: mathbb{Z} to mathbb{Z} such that f(f(a)-b)+bf(2a) is a perfect square for all integers a and b.,9.32857142857143,Very Hard
"We say that a triangle ABC is great if the following holds: for any point D on the side BC, if P and Q are the feet of the perpendiculars from D to the lines AB and AC, respectively, then the reflection of D in the line PQ lies on the circumcircle of the triangle ABC. Prove that triangle ABC is great if and only if angle A = 90^{ circ} and AB = AC. Senior Problems Committee of the Australian Mathematical Olympiad Committee",4.214285714285715,Medium
Let f(x) and g(x) be given by f(x) = frac{1}{x} + frac{1}{x-2} + frac{1}{x-4} + cdots + frac{1}{x-2018} g(x) = frac{1}{x-1} + frac{1}{x-3} + frac{1}{x-5} + cdots + frac{1}{x-2017}. Prove that |f(x)-g(x)| >2 for any non-integer real number x satisfying 0 < x < 2018.,3.185714285714286,Medium
"Let ABC be an acute angled triangle satisfying the conditions AB>BC and AC>BC. Denote by O and H the circumcentre and orthocentre, respectively, of the triangle ABC. Suppose that the circumcircle of the triangle AHC intersects the line AB at M different from A, and the circumcircle of the triangle AHB intersects the line AC at N different from A. Prove that the circumcentre of the triangle MNH lies on the line OH.",7.685714285714286,Hard
"A sequence of real numbers a_0, a_1, . . . is said to be good if the following three conditions hold. (i) The value of a_0 is a positive integer. (ii) For each non-negative integer i we have a_{i+1} = 2a_i + 1 or a_{i+1} = frac{a_i}{a_i + 2} (iii) There exists a positive integer k such that a_k = 2014. Find the smallest positive integer n such that there exists a good sequence a_0, a_1, . . . of real numbers with the property that a_n = 2014. Proposed by Wang Wei Hua, Hong Kong",7.371428571428571,Hard
"Find all functions f: mathbb{R}^+ to mathbb{R}^+ such that (z + 1)f(x + y) = f(xf(z) + y) + f(yf(z) + x),for all positive real numbers x, y, z. Fajar Yuliawan, Indonesia",9.714285714285714,Very Hard
"Show that r = 2 is the largest real number r which satisfies the following condition: If a sequence a_1, a_2, ldots of positive integers fulfills the inequalities a_n leq a_{n+2} leq sqrt{a_n^2+ra_{n+1}}for every positive integer n, then there exists a positive integer M such that a_{n+2} = a_n for every n geq M.",3.842857142857144,Medium
"Determine all the pairs (p , n ) of a prime number p and a positive integer n for which frac{ n^p + 1 }{p^n + 1} is an integer.",6.257142857142856,Hard
"For a positive integer k, call an integer a pure k-th power if it can be represented as m^k for some integer m. Show that for every positive integer n, there exists n distinct positive integers such that their sum is a pure 2009-th power and their product is a pure 2010-th power.",5.042857142857143,Medium
"A positive integer is called fancy if it can be expressed in the form 2^{a_1}+2^{a_2}+ cdots+ 2^{a_{100}},where a_1,a_2, cdots, a_{100} are non-negative integers that are not necessarily distinct. Find the smallest positive integer n such that no multiple of n is a fancy number. Senior Problems Committee of the Australian Mathematical Olympiad Committee",2.928571428571428,Easy
"Find all integers n satisfying n geq 2 and dfrac{ sigma(n)}{p(n)-1} = n, in which sigma(n) denotes the sum of all positive divisors of n, and p(n) denotes the largest prime divisor of n.",7.071428571428572,Hard
"Let ABC be a triangle with angle BAC neq 90^{ circ}. Let O be the circumcenter of the triangle ABC and Gamma be the circumcircle of the triangle BOC. Suppose that Gamma intersects the line segment AB at P different from B, and the line segment AC at Q different from C. Let ON be the diameter of the circle Gamma. Prove that the quadrilateral APNQ is a parallelogram.",4.699999999999999,Medium
"Let mathbb{Z}^+ be the set of positive integers. Determine all functions f : mathbb{Z}^+ to mathbb{Z}^+ such that a^2+f(a)f(b) is divisible by f(a)+b for all positive integers a,b.",3.6571428571428566,Medium
"Let n geq 3 be a fixed integer. The number 1 is written n times on a blackboard. Below the blackboard, there are two buckets that are initially empty. A move consists of erasing two of the numbers a and b, replacing them with the numbers 1 and a+b, then adding one stone to the first bucket and gcd(a, b) stones to the second bucket. After some finite number of moves, there are s stones in the first bucket and t stones in the second bucket, where s and t are positive integers. Find all possible values of the ratio frac{t}{s}.",6.585714285714285,Hard
"Let ABC be an equilateral triangle. From the vertex A we draw a ray towards the interior of the triangle such that the ray reaches one of the sides of the triangle. When the ray reaches a side, it then bounces off following the law of reflection, that is, if it arrives with a directed angle alpha, it leaves with a directed angle 180^{ circ}- alpha. After n bounces, the ray returns to A without ever landing on any of the other two vertices. Find all possible values of n.",6.757142857142857,Hard
